ingredient_id,inferred_category,nutrition_roles,freq_groups,diversity_cluster,risk_flags
171016,oil_omega6_la,carrier_LA,,oil_cluster,
171025,oil_omega6_la,"carrier_LA,carrier_VitE",,oil_cluster,
171027,oil_omega6_la,"carrier_LA,carrier_VitE",,oil_cluster,
171059,organ_other,"carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
171061,organ_liver,vitA_dense,liver_day,chicken_family,vitA_upper_risk
171117,meat_moderate,"carrier_EPA_DHA,carrier_LA",,chicken_family,
171205,meat_lean,carrier_EPA_DHA,,beef_family,
171478,meat_lean,"carrier_EPA_DHA,vitA_dense",,chicken_family,vitA_upper_risk
171485,organ_other,"carrier_EPA_DHA,carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
171487,organ_liver,"carrier_EPA_DHA,carrier_LA,vitA_dense",liver_day,chicken_family,vitA_upper_risk
171492,meat_lean,"carrier_EPA_DHA,carrier_LA",,chicken_family,
171494,meat_moderate,"carrier_EPA_DHA,carrier_LA",,chicken_family,
171956,fish_lean,"carrier_EPA_DHA,carrier_EPA_DHA_fish,carrier_VitD,carrier_VitE,vitA_dense",fish_day,fish_cluster,vitA_upper_risk
172336,oil_omega6_la,"carrier_ALA,carrier_LA,carrier_VitE",,oil_cluster,
172343,oil_omega3_lc,"carrier_ALA,carrier_EPA_DHA,carrier_EPA_DHA_oil",,salmon_family,
172377,meat_moderate,"carrier_EPA_DHA,vitA_dense",,chicken_family,vitA_upper_risk
172381,meat_moderate,"carrier_EPA_DHA,carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
172389,meat_moderate,"carrier_EPA_DHA,carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
172409,meat_moderate,"carrier_ALA,carrier_LA,vitA_dense",,meat_cluster,vitA_upper_risk
172411,meat_moderate,"carrier_ALA,vitA_dense",,meat_cluster,vitA_upper_risk
172528,organ_other,"carrier_ALA,carrier_EPA_DHA",,lamb_family,
172532,organ_liver,vitA_dense,liver_day,lamb_family,vitA_upper_risk
173424,egg,"carrier_EPA_DHA,carrier_VitD,carrier_VitE,vitA_dense",,egg_family,vitA_upper_risk
173577,oil_omega3_lc,"carrier_ALA,carrier_EPA_DHA,carrier_EPA_DHA_oil,carrier_VitD,vitA_dense",,oil_cluster,vitA_upper_risk
173578,oil_omega3_lc,"carrier_ALA,carrier_EPA_DHA,carrier_EPA_DHA_oil,carrier_VitD",,sardine_family,
173613,meat_moderate,"carrier_EPA_DHA,carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
173618,meat_moderate,"carrier_EPA_DHA,carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
173626,meat_moderate,"carrier_EPA_DHA,carrier_LA,vitA_dense",,chicken_family,vitA_upper_risk
173719,fish_fatty,"carrier_EPA_DHA,carrier_EPA_DHA_fish,carrier_VitD,carrier_VitE,vitA_dense",fish_day,salmon_family,vitA_upper_risk
174004,meat_lean,carrier_EPA_DHA,,beef_family,
174032,meat_moderate,carrier_EPA_DHA,,beef_family,
174233,fish_fatty,"carrier_EPA_DHA,carrier_EPA_DHA_fish,vitA_dense",fish_day,fish_cluster,vitA_upper_risk
175117,fish_fatty,"carrier_EPA_DHA,carrier_EPA_DHA_fish,carrier_VitD,carrier_VitE,vitA_dense",fish_day,fish_cluster,vitA_upper_risk
175120,fish_fatty,"carrier_EPA_DHA,carrier_EPA_DHA_fish,vitA_dense",fish_day,mackerel_family,vitA_upper_risk
175168,fish_fatty,"carrier_EPA_DHA,carrier_EPA_DHA_fish,carrier_VitD,vitA_dense",fish_day,salmon_family,vitA_upper_risk
175178,fish_lean,"carrier_EPA_DHA,carrier_EPA_DHA_fish",fish_day,fish_cluster,
175180,fish_lean,"carrier_EPA_DHA,carrier_EPA_DHA_fish",fish_day,fish_cluster,
